sentence,label
My mother loves me very much.,1
I very afraid of dogs.,0
I°Øm very afraid of dogs.,1
"This book is very interesting, I like read it.",0
This book is really interesting. I like reading it.,1
"I will study hard, get good grades.",0
I will study hard to get good grades.,1
He is very good at play basketball.,0
He is very good at playing basketball.,1
I very enjoy the party.,0
I really enjoyed the party.,1
The bus is very crowded.,0
The bus is packed.,1
I want to know your opinion.,0
I°Ød like to hear your opinion.,1
"I have a fever, my body is very hot.",0
I°Øve got a fever.,1
It is very difficult to learn English.,0
Learning English can be quite challenging.,1
I hope you can happy every day.,0
I hope you°Øre happy every day.,1
I have a lot of pressure.,0
I°Øm under a lot of pressure.,1
We should take exercise every day.,0
We should work out every day.,1
I will wait you.,0
I°Øll wait for you.,1
My heart is very happy.,0
I°Øm really happy.,1
I very regret it.,0
I really regret it.,1
The food is very full.,0
I°Øm full.,1
I have no idea about it.,0
I have no clue about it.,1
I very like to travel.,0
I love travelling.,1
It makes me very excited.,0
It gets me really excited.,1
I want to learn more skills.,0
I°Ød like to pick up more skills.,1
"The exam is very difficult, I very nervous.",0
"The exam is really tough, and I°Øm really nervous.",1
I very appreciate your help.,0
I really appreciate your help.,1
I will go to home.,0
I will go home.,1
I very respect him.,0
I have great respect for him.,1
Increase people°Øs awareness of environmental protection.,0
Raise public awareness of environmental protection.,1
There are many people think that°≠,0
Many people believe that°≠,1
"Because the society develops quickly,°≠",0
"With the rapid development of society,°≠",1
Our life has taken place great changes.,0
Great changes have taken place in our lives.,1
I cost two hours to finish the task.,0
It took me two hours to finish the task.,1
The number of students becomes more and more.,0
The number of students is growing.,1
We should do our best to do it well.,0
We should strive to get it right.,1
No matter you like it or not°≠,0
Whether you like it or not°≠,1
"In my opinion, I think that°≠",0
"In my opinion,°≠ / I think that°≠",1
People°Øs living standard is improving.,0
People°Øs standard of living is improving.,1
We can get many benefits from it.,0
We can reap many benefits from it.,1
The reason is because he is busy.,0
The reason is that he is busy.,1
Although but he tried his best.,0
"Although he tried his best,°≠",1
I very satisfy with the result.,0
I am very satisfied with the result.,1
It is good for our body.,0
It is good for our health.,1
I join many activities in college.,0
I take part in many activities in college.,1
Make our city become more beautiful.,0
Make our city more beautiful.,1
I have no choice but to do it.,0
I have little choice but to do it.,1
He lacks of confidence.,0
He lacks confidence.,1
On one hand°≠ On other hand°≠,0
On the one hand°≠ On the other hand°≠,1
This phenomenon exists for a long time.,0
This phenomenon has long existed.,1
We should pay attention on this problem.,0
We should pay attention to this problem.,1
"Compare with the past,°≠",0
"Compared with the past,°≠",1
I very surprise at the news.,0
I was greatly surprised by the news.,1
The job can give me much experience.,0
The job can give me valuable experience.,1
More and more people like to use phone.,0
An increasing number of people use mobile phones.,1
It will have a bad influence to teenagers.,0
It will exert a negative influence on teenagers.,1
I suggest him to take a rest.,0
I suggest (that) he take a rest.,1
My dream is to become to a translator.,0
My dream is to become a translator.,1
We must face to these difficulties.,0
We must face these difficulties.,1
I spent much time to read novels.,0
I spent much time reading novels.,1
The price becomes cheaper.,0
The price goes down.,1
"As we all know that,°≠",0
"As we all know,°≠",1
There is no doubt that it is very important.,0
"Undoubtedly, it plays a vital role.",1
I very hope I can pass the exam.,0
I sincerely hope that I can pass the exam.,1
He makes me very angry.,0
He makes me furious.£® È√Ê£©/ He really annoys me.,1
Many things cause this problem.,0
Multiple factors contribute to this problem.,1
We should improve our quality.,0
We should improve our personal qualities.,1
I am not good at speak in public.,0
I am not good at speaking in public.,1
The problem is more and more serious.,0
The problem is growing increasingly serious.,1
"If you have time, please come to my home.",0
"If you are free, please drop by my place.",1
My mood is not good today.,0
I°Øm in a bad mood today.,1
It can help us to broaden our eyes.,0
It can help us broaden our horizons.,1
We need to take measures to solve the problem.,0
We need to take steps to address the problem.,1
He is easy to make mistakes.,0
He tends to make mistakes.,1
I very thank you for your support.,0
I am deeply grateful for your support.,1
The society needs more talented persons.,0
Society needs more talented individuals.,1
Don°Øt make noise in the library.,0
Please keep quiet in the library.,1
This book can increase my vocabulary.,0
This book can expand my vocabulary.,1
People think it is a bad thing.,0
Many regard it as undesirable.,1
