text,label
The bus is packed.,0
I want to know your opinion.,1
I°Ød like to hear your opinion.,0
"I have a fever, my body is very hot.",1
I°Øve got a fever.,0
It is very difficult to learn English.,1
Learning English can be quite challenging.,0
I hope you can happy every day.,1
I hope you°Øre happy every day.,0
I have a lot of pressure.,1
I°Øm under a lot of pressure.,0
We should take exercise every day.,1
We should work out every day.,0
I will wait you.,1
I°Øll wait for you.,0
My heart is very happy.,1
I°Øm really happy.,0
I very regret it.,1
I really regret it.,0
The food is very full.,1
I°Øm full.,0
I have no idea about it.,1
I have no clue about it.,0
I very like to travel.,1
I love travelling.,0
It makes me very excited.,1
It gets me really excited.,0
I want to learn more skills.,1
I°Ød like to pick up more skills.,0
"The exam is very difficult, I very nervous.",1
"The exam is really tough, and I°Øm really nervous.",0
I very appreciate your help.,1
I really appreciate your help.,0
I will go to home.,1
I will go home.,0
I very respect him.,1
I have great respect for him.,0
Increase people°Øs awareness of environmental protection.,1
Raise public awareness of environmental protection.,0
There are many people think that°≠,1
Many people believe that°≠,0
"Because the society develops quickly,°≠",1
"With the rapid development of society,°≠",0
Our life has taken place great changes.,1
Great changes have taken place in our lives.,0
I cost two hours to finish the task.,1
It took me two hours to finish the task.,0
The number of students becomes more and more.,1
The number of students is growing.,0
We should do our best to do it well.,1
We should strive to get it right.,0
No matter you like it or not°≠,1
Whether you like it or not°≠,0
"In my opinion, I think that°≠",1
"In my opinion,°≠ / I think that°≠",0
People°Øs living standard is improving.,1
People°Øs standard of living is improving.,0
We can get many benefits from it.,1
We can reap many benefits from it.,0
The reason is because he is busy.,1
The reason is that he is busy.,0
Although but he tried his best.,1
"Although he tried his best,°≠",0
I very satisfy with the result.,1
I am very satisfied with the result.,0
It is good for our body.,1
It is good for our health.,0
I join many activities in college.,1
I take part in many activities in college.,0
Make our city become more beautiful.,1
Make our city more beautiful.,0
I have no choice but to do it.,1
I have little choice but to do it.,0
He lacks of confidence.,1
He lacks confidence.,0
On one hand°≠ On other hand°≠,1
On the one hand°≠ On the other hand°≠,0
This phenomenon exists for a long time.,1
This phenomenon has long existed.,0
We should pay attention on this problem.,1
We should pay attention to this problem.,0
"Compare with the past,°≠",1
"Compared with the past,°≠",0
I very surprise at the news.,1
I was greatly surprised by the news.,0
The job can give me much experience.,1
The job can give me valuable experience.,0
More and more people like to use phone.,1
An increasing number of people use mobile phones.,0
It will have a bad influence to teenagers.,1
It will exert a negative influence on teenagers.,0
I suggest him to take a rest.,1
I suggest (that) he take a rest.,0
My dream is to become to a translator.,1
My dream is to become a translator.,0
We must face to these difficulties.,1
We must face these difficulties.,0
I spent much time to read novels.,1
I spent much time reading novels.,0
The price becomes cheaper.,1
The price goes down.,0
"As we all know that,°≠",1
"As we all know,°≠",0
There is no doubt that it is very important.,1
"Undoubtedly, it plays a vital role.",0
I very hope I can pass the exam.,1
I sincerely hope that I can pass the exam.,0
He makes me very angry.,1
He makes me furious.£® È√Ê£©/ He really annoys me.,0
Many things cause this problem.,1
Multiple factors contribute to this problem.,0
We should improve our quality.,1
We should improve our personal qualities.,0
I am not good at speak in public.,1
I am not good at speaking in public.,0
The problem is more and more serious.,1
The problem is growing increasingly serious.,0
"If you have time, please come to my home.",1
"If you are free, please drop by my place.",0
My mood is not good today.,1
I°Øm in a bad mood today.,0
It can help us to broaden our eyes.,1
It can help us broaden our horizons.,0
We need to take measures to solve the problem.,1
We need to take steps to address the problem.,0
He is easy to make mistakes.,1
He tends to make mistakes.,0
I very thank you for your support.,1
I am deeply grateful for your support.,0
The society needs more talented persons.,1
Society needs more talented individuals.,0
Don°Øt make noise in the library.,1
Please keep quiet in the library.,0
This book can increase my vocabulary.,1
This book can expand my vocabulary.,0
People think it is a bad thing.,1
Many regard it as undesirable.,0
